Força;n;f;a
305;180;0.16;0.45
87.86;180;0.16;0.15
393.7;120;0.16;0.45
89.78;240;0.12;0.3
87.42;180;0.12;0.3
171.03;120;0.08;0.3
98.13;240;0.08;0.3
50.53;240;0.16;0.15
38.5;240;0.12;0.15
78.26;180;0.08;0.15
188.55;120;0.12;0.3
238.59;120;0.16;0.3
208.57;180;0.12;0.45
185.95;240;0.12;0.45
140.85;120;0.16;0.15
200.12;180;0.08;0.45
267.41;120;0.08;0.45
156.7;180;0.16;0.3
65.95;240;0.08;0.15
97.42;120;0.08;0.15
315.74;240;0.16;0.45
40.26;180;0.12;0.15
80.47;180;0.08;0.3
110.04;240;0.16;0.3
123.65;120;0.12;0.15
289.7;120;0.12;0.45
162.68;240;0.08;0.45
